,Fare_Amt,tripDurationHours,tipPC,depart_income,arriv_income,Trip_Distance,Payment_Type
0,6.9,0.144166666667,0.0,120.643519106,121.765217175,1.6,CASH
1,28.5,0.433333333333,0.0,252.197724718,20.3524325322,11.95,CASH
2,9.3,0.166666666667,0.0,119.356719782,238.665860215,2.86,CASH
3,14.9,0.333333333333,0.134228187919,21.3128239511,178.157744482,4.6,Credit
4,9.3,0.197777777778,0.149462365591,115.621026064,21.3128239511,2.4,Credit
5,5.3,0.1,0.0,158.973138597,205.936708269,1.14,CASH
6,3.3,0.0658333333333,0.0,42.750828305,119.356719782,0.3,CASH
7,3.7,0.0758333333333,0.216216216216,121.765217175,121.765217175,0.5,CREDIT
8,5.3,0.0911111111111,0.0,157.477740509,138.760957512,1.0,CASH
9,6.5,0.136944444444,0.0,158.973138597,147.284296274,1.3,Cash
10,28.25,0.0127777777778,0.194690265487,252.197724718,252.197724718,0.0,Credit
11,4.2,0.0425,0.0,121.765217175,119.356719782,0.5,Cash
12,11.1,0.247222222222,0.0,119.356719782,252.197724718,2.5,Cash
13,18.5,0.274166666667,0.2,430.402252069,252.197724718,7.1,Credit
14,8.2,0.165,0.0,101.184332311,139.074511059,1.7,Cash
15,6.6,0.0986111111111,0.0,252.197724718,170.550403502,1.7,Cash
16,3.0,0.00333333333333,2.33333333333,147.284296274,147.284296274,0.0,Credit
17,7.7,0.168611111111,0.0,119.356719782,94.386319293,1.9,Cash
18,7.7,0.168611111111,0.0,119.356719782,94.386319293,1.9,Cash
19,7.7,0.168611111111,0.0,119.356719782,,1.9,Cash
20,7.7,0.168611111111,0.0,119.356719782,,1.9,Cash
21,4.9,0.0866666666667,0.0,121.765217175,139.074511059,0.8,Cash
22,4.9,0.0888888888889,0.0,147.284296274,238.665860215,0.8,Cash
23,4.6,0.0363888888889,0.0,138.760957512,64.1674781822,0.6,Cash
24,14.2,0.37,0.0,101.184332311,252.197724718,3.2,Dispute
